,P_ID,Dev_ID,TimeStamp,Stages_crossed,Level,Difficulty,Kill_Count,Headshots_Count,Score,Lives_Earned
0,644,zm_015,2022-10-11 14:05:08,3,1,Medium,11,5,350,1
1,644,rf_015,2022-10-11 19:34:25,1,1,Low,7,2,150,0
2,644,bd_017,2022-10-12 23:52:18,6,2,Medium,24,16,1750,2
3,656,rf_013,2022-10-15 18:12:50,7,0,Medium,15,8,880,0
4,656,bd_015,2022-10-13 22:19:45,4,1,Low,19,13,1450,0
5,656,rf_017,2022-10-14 07:32:00,2,1,Difficult,3,1,280,1
6,656,bd_013,2022-10-11 17:47:09,10,1,Low,18,16,2210,3
7,296,zm_017,2022-10-14 15:15:15,2,1,Difficult,7,3,1040,0
8,296,zm_015,2022-10-14 19:35:49,4,1,Medium,4,0,100,0
9,632,bd_013,2022-10-12 16:30:30,5,0,Difficult,45,30,100,0
10,632,rf_013,2022-10-12 19:36:40,5,1,Medium,28,25,100,1
11,632,zm_017,2022-10-13 06:30:20,5,2,Difficult,4,0,100,2
12,632,zm_015,2022-10-13 10:56:17,7,2,Medium,23,20,4950,2
13,632,zm_017,2022-10-14 23:41:25,8,2,Difficult,30,24,5500,4
14,428,bd_015,2022-10-15 18:00:00,3,1,Low,5,3,380,0
15,429,rf_017,2022-10-11 09:28:56,2,1,Difficult,30,27,3500,3
16,429,zm_017,2022-10-11 21:39:00,10,2,Low,30,18,3210,0
17,429,bd_013,2022-10-11 19:28:43,6,0,Medium,14,10,1800,1
18,429,zm_013,2022-10-11 13:00:22,7,2,Difficult,25,20,4710,2
19,310,rf_017,2022-10-11 15:15:15,7,1,Difficult,20,18,5140,3
20,310,bd_015,2022-10-13 19:18:20,5,0,Difficult,34,30,5300,3
21,310,bd_013,2022-10-15 23:30:50,7,2,Difficult,14,11,3370,2
22,211,bd_017,2022-10-12 13:23:45,4,0,Low,20,15,390,2
23,211,bd_013,2022-10-12 18:30:30,5,1,Difficult,25,15,3200,2
24,211,rf_013,2022-10-13 05:36:15,5,1,Medium,30,11,2700,1
25,211,zm_015,2022-10-13 22:30:18,5,2,Low,14,8,2800,0
26,211,zm_017,2022-10-14 08:56:24,7,2,Medium,9,3,750,2
27,211,rf_017,2022-10-15 11:41:19,8,2,Difficult,15,11,1100,1
28,319,zm_017,2022-10-12 14:20:40,7,1,Low,5,3,50,0
29,547,rf_013,2022-10-15 07:15:15,2,1,Low,17,11,750,0
30,547,zm_015,2022-10-15 20:16:49,5,1,Low,20,9,1600,0
31,547,bd_013,2022-10-15 02:19:27,8,1,Medium,15,8,1100,1
32,300,bd_013,2022-10-11 19:19:19,5,1,Low,25,11,540,0
33,300,rf_013,2022-10-11 05:20:40,7,1,Medium,23,17,2300,0
34,300,zm_015,2022-10-12 11:21:20,3,0,Difficult,14,0,1200,0
35,300,zm_015,2022-10-12 01:45:17,2,2,Medium,4,3,230,1
36,300,bd_013,2022-10-13 23:15:42,3,2,Medium,8,4,590,1
37,224,rf_017,2022-10-14 01:15:56,7,1,Medium,20,18,5140,0
38,224,bd_015,2022-10-14 08:21:49,5,1,Difficult,34,30,1300,0
39,224,bd_013,2022-10-15 05:30:28,10,2,Difficult,30,22,5300,4
40,224,bd_013,2022-10-15 13:43:50,4,2,Difficult,28,25,4570,2
41,242,bd_013,2022-10-13 01:14:29,6,1,Low,21,17,2840,0
42,242,zm_015,2022-10-14 04:38:50,8,1,Low,37,26,3470,2
43,292,rf_013,2022-10-12 04:29:45,4,1,Low,21,17,1890,0
44,292,rf_015,2022-10-15 10:19:30,5,1,Medium,4,3,670,0
45,590,rf_013,2022-10-12 19:23:15,2,1,Low,10,7,1050,0
46,590,bd_017,2022-10-12 07:30:18,3,1,Low,24,18,2400,1
47,590,wd_019,2022-10-13 04:20:27,5,2,Low,17,10,1550,0
48,590,rf_015,2022-10-13 13:45:40,3,2,Medium,9,0,900,1
49,590,zm_017,2022-10-14 06:31:24,4,2,Medium,15,8,2100,2
